region,day,total_trucks,total_routes,total_cost,total_ww_cost
3,46,4,5,2804.443058068418,2804.443058068418
4,46,3,3,2796.1189015411574,2796.1189015411574
5,46,2,1,1194.3250151276368,1194.3250151276368
6,46,3,2,2135.576306311235,2135.576306311235
7,46,2,2,2086.248660968806,2086.248660968806
0,47,5,7,4490.918353157085,4490.918353157085
1,47,2,1,1245.3294090615425,1245.3294090615425
2,47,3,3,3177.357522475575,3177.357522475575
3,47,4,5,3037.106012975998,3037.106012975998
4,47,3,3,3184.3394634553124,3184.3394634553124
5,47,2,2,1557.8453942743943,1557.8453942743943
6,47,3,2,2192.7096887308758,2192.7096887308758
7,47,2,2,2073.748660968806,2073.748660968806
0,48,5,5,4406.855369179924,4406.855369179924
1,48,2,1,1161.996075728209,1161.996075728209
2,48,3,3,2844.953663258136,2844.953663258136
3,48,4,4,2576.5284468692903,2576.5284468692903
4,48,3,3,2558.7628930689757,2558.7628930689757
5,48,2,2,1599.512060941061,1599.512060941061
6,48,3,2,1956.409639644568,1956.409639644568
7,48,2,2,2194.5819943021397,2194.5819943021397
0,49,5,7,4210.361264890025,4210.361264890025
1,49,2,1,1078.6627423948757,1078.6627423948757
2,49,3,4,2857.4213103171096,2857.4213103171096
3,49,4,5,3049.606012975998,3049.606012975998
4,49,3,3,2399.2234808836774,2399.2234808836774
5,49,2,2,1578.0574118096724,1578.0574118096724
6,49,3,3,2428.5234696592547,2428.5234696592547
7,49,2,2,2098.7486609688062,2098.7486609688062
0,50,5,7,4533.415264182392,4533.415264182392
1,50,2,1,1286.996075728209,1286.996075728209
2,50,3,4,2940.7546436504426,2940.7546436504426
3,50,4,4,2604.417769937125,2604.417769937125
4,50,3,2,2030.9054036320977,2030.9054036320977
5,50,2,2,1516.1787276077278,1516.1787276077278
6,50,3,3,2687.8611368934085,2687.8611368934085
7,50,2,1,1515.0947525969525,1515.0947525969525
0,51,5,7,4078.324481918175,4078.324481918175
1,51,2,1,1370.3294090615425,1370.3294090615425
2,51,3,5,3571.8448472948066,3571.8448472948066
3,51,4,5,3137.7763914017514,3137.7763914017514
4,51,3,2,2254.9067271472823,2254.9067271472823
5,51,2,1,1235.9916817943035,1235.9916817943035
6,51,3,2,2023.4664996540419,2023.4664996540419
7,51,2,2,1977.9153276354727,1977.9153276354727
0,52,5,6,3865.708689493201,3865.708689493201
1,52,2,2,1639.8043621802237,1639.8043621802237
2,52,3,4,2791.435829219411,2791.435829219411
3,52,4,6,3443.71279106814,3443.71279106814
4,52,3,3,2756.4793583079118,2756.4793583079118
5,52,2,2,1682.8453942743943,1682.8453942743943
6,52,3,1,1555.0796229056589,1555.0796229056589
7,52,2,2,2194.5819943021397,2194.5819943021397
0,53,5,7,4238.478614656912,4238.478614656912
1,53,2,1,1078.6627423948757,1078.6627423948757
2,53,3,3,2918.783769912894,2918.783769912894
3,53,4,4,2618.1951135359573,2618.1951135359573
4,53,3,3,2467.4705891921712,2467.4705891921712
5,53,2,1,1194.3250151276368,1194.3250151276368
6,53,3,2,2052.2429729779014,2052.2429729779014
7,53,2,2,2252.9153276354727,2252.9153276354727
0,54,5,7,4383.644544674576,4383.644544674576
