region,day,total_trucks,total_routes,total_overworked,total_double_shift,total_cost,cost_overworked,total_ww_cost
4,52,3,4,2,1,4315.929611588629,290.2191732341888,4315.929611588629
5,52,2,4,0,2,3229.107532779117,0.0,3229.107532779117
6,52,3,4,1,1,4568.746761627788,155.56757740137374,4568.746761627788
7,52,2,2,1,0,2348.7486609688062,170.15064549184643,2348.7486609688062
0,53,5,7,0,2,5717.974354499729,0.0,5717.974354499729
1,53,2,3,1,1,3081.8388023754806,154.37409551669703,3081.8388023754806
2,53,3,4,1,1,3809.9737383711617,48.10545710395164,3809.9737383711617
3,53,4,5,0,1,4715.0592817842835,0.0,4715.0592817842835
4,53,3,4,3,1,4874.937240622799,470.48317057050485,4874.937240622799
5,53,2,3,1,1,2836.161895088728,82.99298149876653,2836.161895088728
6,53,3,4,2,1,4185.632068778545,99.14859646772416,4185.632068778545
7,53,2,2,1,0,2560.978474236228,191.99247371721535,2560.978474236228
0,54,5,8,0,3,5551.447354537172,0.0,5551.447354537172
1,54,2,3,1,1,2848.0118632831663,198.14556168126333,2848.0118632831663
2,54,3,4,1,1,4000.333936296854,85.18367825067577,4000.333936296854
3,54,4,6,0,2,4721.730472272548,0.0,4721.730472272548
4,54,3,5,2,2,5079.694424800522,232.55729668556603,5079.694424800522
5,54,2,3,0,1,2622.81232612682,0.0,2622.81232612682
6,54,3,4,2,1,4232.39003453529,373.6221859036025,4232.39003453529
7,54,2,2,1,0,2378.7892865965455,185.1786033454085,2378.7892865965455
0,55,5,5,1,0,5770.995141093176,60.74281412654693,5770.995141093176
1,55,2,2,0,0,1849.8512703706224,0.0,1849.8512703706224
2,55,3,4,2,1,3579.8888569014302,106.02504358077982,3579.8888569014302
3,55,4,6,0,2,4417.513311283262,0.0,4417.513311283262
4,55,3,4,3,1,4923.714704816762,481.64575107129593,4923.714704816762
5,55,2,4,0,2,2618.6393632467625,0.0,2618.6393632467625
6,55,3,5,2,2,3987.6288711341367,177.41812121752943,3987.6288711341367
7,55,2,2,1,0,2240.4153276354727,61.8173121585131,2240.4153276354727
0,56,5,5,2,0,5737.05710208491,38.7643437459899,5737.05710208491
1,56,2,3,0,1,3004.54734443573,0.0,3004.54734443573
2,56,3,4,0,1,3996.5966421588955,0.0,3996.5966421588955
3,56,4,5,0,1,4865.259619516244,0.0,4865.259619516244
4,56,3,4,3,1,4767.570836826797,219.58840232177337,4767.570836826797
5,56,2,4,0,2,2529.943838236201,0.0,2529.943838236201
6,56,3,4,1,1,4447.7908947529795,206.63736912692218,4447.7908947529795
7,56,2,2,1,0,2458.2473143525185,107.93522533225124,2458.2473143525185
0,57,5,6,1,1,5601.502492116477,23.98509631376766,5601.502492116477
1,57,2,2,1,0,2559.246428960526,230.9024715937129,2559.246428960526
2,57,3,5,1,2,3863.497215006777,71.13961552919329,3863.497215006777
3,57,4,4,0,0,4478.233418166183,0.0,4478.233418166183
4,57,3,3,3,0,3760.50214753362,144.06379136923584,3760.50214753362
5,57,2,3,0,1,2643.456637108106,0.0,2643.456637108106
6,57,3,4,3,1,4296.46718847764,287.80798306815825,4296.46718847764
7,57,2,2,1,0,2505.8283525043507,165.84910226653247,2505.8283525043507
0,58,5,6,1,1,5320.129494291171,44.25246542466745,5320.129494291171
1,58,2,3,1,1,2860.407244652747,89.81222834793016,2860.407244652747
2,58,3,3,2,0,3911.474640178917,415.0688564890989,3911.474640178917
3,58,4,6,1,2,4583.63156380363,28.49737533753695,4583.63156380363
4,58,3,4,3,1,4578.328608848023,387.0731172951316,4578.328608848023
5,58,2,2,1,0,2352.296417631612,17.16859413570425,2352.296417631612
6,58,3,3,2,0,3859.877699871732,293.9146129602872,3859.877699871732
7,58,2,2,1,0,2404.080647685852,53.76855866558457,2404.080647685852
0,59,5,5,1,0,5770.793253746318,38.22584387029459,5770.793253746318
1,59,2,3,1,1,2889.573911319413,35.64556168126351,2889.573911319413
2,59,3,4,1,1,4013.818336239555,118.54895467084519,4013.818336239555
3,59,4,5,0,1,4686.35706206636,0.0,4686.35706206636
4,59,3,4,2,1,4476.298978402078,344.1120086686673,4476.298978402078
5,59,2,4,1,2,2700.04496557524,59.668492767069516,2700.04496557524
6,59,3,4,2,1,4451.646210570751,470.53827986162923,4451.646210570751
7,59,2,2,1,0,2465.145140902895,137.82580705054866,2465.145140902895
0,60,5,5,2,0,5829.03061089799,125.92446210201989,5829.03061089799
1,60,2,2,1,0,2011.5564688296183,159.05585998898357,2011.5564688296183
2,60,3,4,2,1,4373.021398084408,234.59484434464727,4373.021398084408
3,60,4,5,0,1,4916.882921163496,0.0,4916.882921163496
4,60,3,4,3,1,4747.441861451909,498.8056846731936,4747.441861451909
5,60,2,3,0,1,2663.243267519027,0.0,2663.243267519027
