region,routes,total_duration,total_demand
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",13245.1,16.55
0,"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",13229.76,16.85
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",13834.55,16.6
0,"['Distribution Centre Auckland', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",7861.35,8.25
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Woolworths Mt Eden', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15246.36,16.8
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Distribution Centre Auckland']",14668.240000000002,16.200000000000003
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",14751.41,16.2
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Woolworths Ponsonby', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15503.490000000002,16.95
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland Victoria Street West', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15231.48,16.3
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15195.91,15.95
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Woolworths Grey Lynn', 'FreshChoice Epsom', 'Distribution Centre Auckland']",16059.810000000001,17.35
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Pt Chevalier', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15094.849999999999,16.55
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Newmarket', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15206.279999999999,16.85
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Woolworths St Lukes', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15111.810000000001,17.15
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'FreshChoice Epsom', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15601.08,16.9
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Woolworths Mt Eden', 'FreshChoice Epsom', 'Distribution Centre Auckland']",15246.36,16.8
0,"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",6348.2,4.55
1,"['Distribution Centre Auckland', 'Woolworths Takanini', 'Distribution Centre Auckland']",8080.96,7.9
1,"['Distribution Centre Auckland', 'Woolworths Takanini', 'FreshChoice Papakura', 'Distribution Centre Auckland']",11762.93,12.7
